MQ9,value
620,0
603,0
590,0
607,0
624,0
633,0
630,0
640,0
640,0
641,0
633,0
639,0
640,0
639,0
616,0
574,0
619,0
611,0
605,0
563,0
612,0
635,0
619,0
616,0
594,0
601,0
617,0
608,0
577,0
608,0
587,0
572,0
587,0
587,0
570,0
597,0
486,0
492,0
501,0
495,0
521,0
511,0
497,0
501,0
497,0
507,0
509,0
519,0
516,0
505,0
501,0
507,0
503,0
505,0
520,0
475,0
489,0
480,0
531,0
549,0
531,0
521,0
472,0
518,0
518,0
522,0
523,0
518,0
473,0
535,0
498,0
519,0
520,0
540,0
516,0
895,0
779,0
700,0
715,0
653,0
665,0
583,0
565,0
570,0
568,0
552,0
544,0
522,0
543,0
545,0
538,0
550,0
529,0
635,0
650,0
667,0
673,0
666,0
626,0
633,0
640,0
617,0
625,0
626,0
635,0
615,0
629,0
656,0
654,0
677,0
683,0
678,0
663,0
643,0
626,0
632,0
644,0
625,0
650,0
678,1
696,1
701,1
689,1
686,1
647,1
648,1
629,1
619,1
606,1
609,1
761,1
773,1
941,1
818,1
739,1
704,1
676,1
681,1
664,1
653,1
658,1
666,1
658,1
660,1
672,1
661,1
662,1
652,1
726,1
749,1
744,1
700,1
648,1
636,1
628,1
634,1
556,0
564,0
574,0
585,0
581,0
598,0
591,0
590,0
597,0
541,0
582,0
586,0
593,0
613,0
595,0
599,0
636,0
615,0
566,0
613,0
592,0
580,0
578,0
604,0
613,0
619,0
622,0
618,0
625,0
571,0
590,0
495,0
496,0
498,0
501,0
499,0
516,0
501,0
493,0
504,0
475,0
510,0
509,0
506,0
514,0
515,0
505,0
512,0
512,0
527,0
517,0
527,0
1064,1
1069,1
1020,1
968,1
944,1
939,1
920,1
910,1
1025,1
950,1
903,1
841,1
769,1
750,1
778,1
746,1
737,1
719,1
745,1
712,1
702,1
638,1
463,0
434,0
465,0
463,0
465,0
465,0
465,0
452,0
433,0
488,0
466,0
464,0
438,0
474,0
469,0
471,0
459,0
416,0
467,0
467,0
458,0
467,0
436,0
462,0
476,0
465,0
470,0
423,0
482,0
475,0
465,0
478,0
470,0
542,0
493,0
485,0
491,0
476,0
471,0
471,0
477,0
606,0
603,0
570,0
561,0
602,0
581,0
619,0
638,0
588,0
566,0
632,0
624,0
617,0
628,0
638,0
623,0
608,0
639,0
620,0
595,0
555,0
567,0
569,0
576,0
572,0
601,0
601,0
593,0
593,0
614,0
444,0
482,0
448,0
478,0
491,0
478,0
453,0
495,0
491,0
482,0
451,0
478,0
478,0
490,0
478,0
470,0
473,0
