,MQ9,value
524,574,1
525,554,1
526,559,1
527,577,1
528,558,1
529,520,1
530,513,1
531,501,1
532,517,1
533,525,1
534,549,1
535,499,1
536,537,1
537,549,1
538,548,1
539,576,4
540,825,4
541,804,4
542,787,4
543,717,4
544,734,4
545,730,4
546,711,4
547,703,4
548,697,4
549,672,4
550,686,4
551,677,4
552,623,4
553,679,4
554,724,4
555,747,4
556,689,4
557,741,4
558,810,4
559,827,4
560,845,4
561,890,4
562,912,4
563,932,4
564,930,4
565,920,4
566,959,4
567,931,4
568,971,4
569,922,4
570,942,4
571,953,4
572,995,4
573,948,4
574,814,4
575,748,4
576,773,4
577,809,4
578,818,4
579,821,4
580,847,4
581,894,4
582,876,4
583,868,4
584,856,4
585,905,4
586,850,4
587,796,4
588,831,4
589,792,4
590,833,4
591,834,4
592,851,4
593,883,4
594,904,4
595,901,4
596,881,4
597,903,4
598,887,4
599,887,4
600,830,4
601,875,4
602,875,4
603,846,4
604,880,4
605,891,4
606,783,4
607,454,1
608,434,1
609,452,1
610,454,1
611,473,1
612,471,1
613,471,1
614,481,1
615,469,1
616,468,1
617,421,1
618,457,1
619,429,1
620,421,1
621,433,1
622,452,1
623,393,1
624,432,1
625,429,1
626,443,1
627,433,1
628,432,1
629,427,1
630,441,1
631,435,1
632,439,1
633,435,1
634,437,1
635,447,1
636,442,1
637,443,1
638,439,1
639,443,1
640,449,1
641,453,1
642,448,1
643,397,1
644,599,2
645,562,2
646,624,2
647,637,2
648,644,2
649,596,2
650,594,2
651,571,2
652,576,2
653,551,2
654,643,2
655,647,2
656,635,2
657,626,2
658,587,2
659,594,2
660,582,2
661,579,2
662,577,2
663,573,2
664,585,2
665,573,2
666,593,2
667,556,2
668,612,2
669,606,2
670,598,2
671,597,2
672,572,2
673,601,2
674,602,2
675,603,2
676,736,3
677,752,3
678,803,3
679,814,3
680,831,3
681,932,3
682,929,3
683,958,3
684,934,3
685,946,3
686,965,3
687,982,3
688,979,3
689,986,3
690,912,3
691,795,3
692,760,4
693,658,4
694,678,4
695,768,4
696,750,4
697,718,4
698,745,4
699,823,4
700,794,4
701,769,4
702,947,4
703,884,4
704,961,4
705,897,4
706,938,4
707,1065,4
708,878,4
709,614,4
710,641,4
711,620,4
712,777,4
713,1062,4
714,908,4
715,786,4
716,845,4
717,832,4
718,846,4
719,861,4
720,964,4
721,918,4
722,944,4
723,927,4
724,937,4
725,975,4
726,1003,4
727,1010,4
728,1008,4
729,960,4
730,1054,4
731,1061,4
732,1022,4
733,1018,4
734,1009,4
735,1023,4
736,1120,4
737,920,4
738,722,4
739,610,4
740,573,4
741,607,4
742,654,4
743,648,4
744,616,4
745,676,4
746,649,4
747,585,2
748,590,2
749,574,2
750,592,2
751,610,2
752,597,2
753,596,2
754,600,2
755,617,2
756,629,2
757,636,2
758,645,2
759,654,2
760,652,2
761,639,2
762,580,2
763,659,2
764,642,2
765,638,2
766,629,2
767,612,2
768,638,2
769,655,2
770,641,2
771,615,2
772,639,2
773,644,2
774,651,2
775,663,2
776,647,2
777,665,2
778,679,2
779,677,2
780,659,2
781,636,2
782,588,2
783,620,2
784,603,2
785,590,2
786,607,2
787,624,2
788,633,2
789,630,2
790,640,2
791,640,2
792,641,2
793,633,2
794,639,2
795,640,2
796,639,2
797,616,2
798,574,2
799,619,2
800,611,2
801,605,2
802,563,2
803,612,2
804,635,2
805,619,2
806,616,2
807,594,2
808,601,2
809,617,2
810,608,2
811,577,2
812,608,2
813,587,2
814,572,2
815,587,2
816,587,2
817,570,2
818,597,2
819,486,1
820,492,1
821,501,1
822,495,1
823,521,1
824,511,1
825,497,1
826,501,1
827,497,1
828,507,1
829,509,1
830,519,1
831,516,1
832,505,1
833,501,1
834,507,1
835,503,1
836,505,1
837,520,1
838,475,1
839,489,1
840,480,1
841,531,1
842,549,1
843,531,1
844,521,1
845,472,1
846,518,1
847,518,1
848,522,1
849,523,1
850,518,1
851,473,1
852,535,1
853,498,1
854,519,1
855,520,1
856,540,1
857,516,1
858,895,1
859,779,1
860,700,1
861,715,1
862,653,1
863,665,1
864,583,1
865,565,1
866,570,1
867,568,1
868,552,1
869,544,1
870,522,1
871,543,1
872,545,1
873,538,1
874,550,1
875,529,1
876,635,2
877,650,2
878,667,2
879,673,2
880,666,2
881,626,2
882,633,2
883,640,2
884,617,2
885,625,2
886,626,2
887,635,2
888,615,2
889,629,2
890,656,2
891,654,2
892,677,2
893,683,2
894,678,2
895,663,2
896,643,2
897,626,2
898,632,2
899,644,2
900,625,2
901,650,2
902,678,4
903,696,4
904,701,4
905,689,4
906,686,4
907,647,4
908,648,4
909,629,4
910,619,4
911,606,4
912,609,4
913,761,4
914,773,4
915,941,4
916,818,4
917,739,4
918,704,4
919,676,4
920,681,4
921,664,4
922,653,4
923,658,4
924,666,4
925,658,4
926,660,4
927,672,4
928,661,4
929,662,4
930,652,4
931,726,4
932,749,4
933,744,4
934,700,4
935,648,4
936,636,4
937,628,4
938,634,4
939,556,2
940,564,2
941,574,2
942,585,2
943,581,2
944,598,2
945,591,2
946,590,2
947,597,2
948,541,2
949,582,2
950,586,2
951,593,2
952,613,2
953,595,2
954,599,2
955,636,2
956,615,2
957,566,2
958,613,2
959,592,2
960,580,2
961,578,2
962,604,2
963,613,2
964,619,2
965,622,2
966,618,2
967,625,2
968,571,2
969,590,2
970,495,1
971,496,1
972,498,1
973,501,1
974,499,1
975,516,1
976,501,1
977,493,1
978,504,1
979,475,1
980,510,1
981,509,1
982,506,1
983,514,1
984,515,1
985,505,1
986,512,1
987,512,1
988,527,1
989,517,1
990,527,1
991,1064,4
992,1069,4
993,1020,4
994,968,4
995,944,4
996,939,4
997,920,4
998,910,4
999,1025,4
1000,950,4
1001,903,4
1002,841,4
1003,769,4
1004,750,4
1005,778,4
1006,746,4
1007,737,4
1008,719,4
1009,745,4
1010,712,4
1011,702,4
1012,638,4
1013,463,1
1014,434,1
1015,465,1
1016,463,1
1017,465,1
1018,465,1
1019,465,1
1020,452,1
1021,433,1
1022,488,1
1023,466,1
1024,464,1
1025,438,1
1026,474,1
1027,469,1
1028,471,1
1029,459,1
1030,416,1
1031,467,1
1032,467,1
1033,458,1
1034,467,1
1035,436,1
1036,462,1
1037,476,1
1038,465,1
1039,470,1
1040,423,1
1041,482,1
1042,475,1
1043,465,1
1044,478,1
1045,470,1
1046,542,1
1047,493,1
1048,485,1
1049,491,1
1050,476,1
1051,471,1
1052,471,1
1053,477,1
1054,606,2
1055,603,2
1056,570,2
1057,561,2
1058,602,2
1059,581,2
1060,619,2
1061,638,2
1062,588,2
1063,566,2
1064,632,2
1065,624,2
1066,617,2
1067,628,2
1068,638,2
1069,623,2
1070,608,2
1071,639,2
1072,620,2
1073,595,2
1074,555,2
1075,567,2
1076,569,2
1077,576,2
1078,572,2
1079,601,2
1080,601,2
1081,593,2
1082,593,2
1083,614,2
1084,444,1
1085,482,1
1086,448,1
1087,478,1
1088,491,1
1089,478,1
1090,453,1
1091,495,1
1092,491,1
1093,482,1
1094,451,1
1095,478,1
1096,478,1
1097,490,1
1098,478,1
1099,470,1
1100,473,1
1101,489,1
1102,485,1
1103,491,1
1104,503,1
1105,442,1
1106,480,1
1107,491,1
1108,469,1
1109,449,1
1110,504,1
1111,506,1
1112,490,1
1113,502,1
1114,492,1
1115,486,1
1116,491,1
1117,488,1
1118,485,1
1119,491,1
1120,448,1
1121,500,1
1122,507,1
1123,491,1
1124,471,1
1125,488,1
1126,639,4
1127,629,4
1128,648,4
1129,730,4
